Account Balance,Duration of Credit  month ,Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings Stocks,Length of current employment,Instalment per cent,Sex   Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age  years ,Concurrent Credits,Type of apartment,No of Credits at this Bank,No of dependents,Telephone,Foreign Worker
1,9,3,4,2799,1,2,2,2,1,2,1,36,2,1,2,2,1,1
1,12,3,4,2122,1,2,3,2,1,2,1,39,2,1,2,2,1,2
2,24,2,3,3758,3,1,1,1,1,4,4,23,2,1,1,1,1,1
1,11,3,4,3905,1,2,2,2,1,2,1,36,2,1,2,2,1,1
1,6,3,3,1957,1,3,1,1,1,4,3,31,2,2,1,1,1,1
1,6,2,3,2647,3,2,2,2,1,3,1,44,2,1,1,2,1,1
2,36,3,3,2337,1,4,4,2,1,4,1,36,2,2,1,1,1,1
3,11,3,4,7228,1,2,1,2,1,4,2,39,2,2,2,1,1,1
2,36,2,3,2384,1,1,4,2,1,1,4,33,2,1,1,1,1,1
2,11,3,3,4771,1,3,2,2,1,4,2,51,2,2,1,1,1,1
3,15,2,4,3556,4,2,3,2,1,2,4,29,2,2,1,1,1,1
3,42,3,1,4796,1,4,4,2,1,4,4,56,2,3,1,1,1,1
3,36,3,4,6614,1,4,4,2,1,4,3,34,2,2,2,1,2,1
1,15,2,4,1721,1,1,2,2,1,3,1,36,2,2,1,1,1,1
1,6,3,4,860,1,4,1,1,1,4,4,39,2,2,2,1,2,1
3,12,3,4,1495,1,4,4,2,1,1,1,38,2,2,2,2,1,1
3,12,3,3,1934,1,4,2,2,1,2,4,26,2,2,2,1,1,1
3,18,2,1,3378,4,2,2,2,1,1,2,31,2,2,1,1,2,1
1,24,2,4,1755,1,4,4,1,2,4,1,58,2,2,1,1,2,1
2,18,2,3,1239,4,2,4,2,1,4,4,61,2,3,1,1,1,1
3,24,2,4,1474,2,1,4,3,1,3,1,33,2,2,1,1,2,1
3,12,2,4,640,1,2,4,1,1,2,1,49,2,2,1,1,1,1
3,36,2,3,3919,1,2,2,2,1,2,1,23,2,2,1,1,2,1
3,12,3,3,2331,4,4,1,2,2,4,1,49,2,2,1,1,2,1
3,24,2,1,6313,4,4,3,2,1,4,3,41,2,2,1,2,2,1
3,12,3,3,1655,1,4,2,2,1,4,1,63,2,2,2,1,2,1
1,15,2,3,1053,1,1,4,3,1,2,1,27,2,2,1,1,1,2
3,12,3,4,1163,3,2,4,2,1,4,1,44,2,2,1,1,2,1
3,36,3,4,10875,1,4,2,2,1,2,3,45,2,2,2,2,2,1
1,12,3,4,1344,1,2,4,2,1,2,1,43,2,2,2,2,1,1
3,6,3,3,1237,2,2,1,1,1,1,2,27,2,2,2,1,1,1
3,12,2,3,3077,1,2,2,2,1,4,3,52,2,2,1,1,2,1
3,24,2,3,2284,1,3,4,2,1,2,3,28,2,2,1,1,2,1
2,12,2,3,1567,1,2,1,1,1,1,3,22,2,2,1,1,2,1
3,24,3,4,2032,1,4,4,2,1,4,4,60,2,3,2,1,2,1
1,21,3,4,1602,1,4,4,3,1,3,3,30,2,2,2,1,2,1
3,15,2,3,1979,4,4,4,2,1,2,3,35,2,2,1,1,1,1
3,36,3,3,3342,4,4,4,2,1,2,3,51,2,2,1,1,2,1
2,18,2,4,5866,2,2,2,2,1,2,3,30,2,2,2,1,2,1
3,15,3,1,2360,3,2,2,2,1,2,3,36,2,2,1,1,2,1
1,12,2,4,3651,3,2,1,2,1,3,2,31,2,2,1,2,1,1
2,18,3,2,6361,1,4,2,2,1,1,4,41,2,2,1,1,2,1
3,27,3,2,4526,3,1,4,2,1,2,1,32,1,2,2,2,2,1
1,9,2,2,2136,1,2,3,2,1,2,1,25,2,2,1,1,1,1
3,24,3,2,3777,3,2,4,2,1,4,1,40,2,2,1,1,2,1
1,15,2,4,806,1,2,4,1,1,4,2,22,2,2,1,1,1,1
